s.no,moduleId,moduleName,errorMessage
17,13069,BLC2S-DC,"Selected shutter shade is invalid for Plain Shutter Left"
18,13070,W2S-DC,"Selected shutter shade is invalid for Plain Shutter Left"
19,13071,OB-WB-DC,"Selected shutter shade is invalid for No Shutter"
15,13067,BBC1S-Left-DC,"Selected shutter shade is invalid for Plain Shutter Left"
16,13068,BBC1S-Right-DC,"Selected shutter shade is invalid for Plain Shutter Right"
14,13066,W1S-DC,"Selected shutter shade is invalid for Plain Shutter"
12,13064,B1DR1IT-DC,"Selected shutter shade is invalid for Drawer Facia"
11,13063,B1SPO-DC,"Selected shutter shade is invalid for Pullout Plain Shutter"
13,13065,B1DR1GT-DC,"Selected shutter shade is invalid for 1st Drawer Facia"
54,13114,T2S-DC,"Selected shutter shade is invalid for Plain Shutter Left"
55,13117,MT1S-DC,"Selected shutter shade is invalid for Plain Shutter"
53,13113,T1S-DC,"Selected shutter shade is invalid for Plain Shutter"
58,13122,T1DR1SBOBM-DC,"Error in zone : 7_58_13122_T1DR1SBOBM-DC for module [Tall Cabinet Shutter- Built In Oven And Built In Microwave,13122] : Insufficient accessories. Minimum required: 2 got 1"
52,13112,Gola-WAQ2S-DC,"Selected shutter shade is invalid for Gola Plain Shutter Left"
62,13129,Gola-T1DR1SBOBM-DC,"Error in zone : 5_62_13129_Gola-T1DR1SBOBM-DC for module [Gola Tall Cabinet Shutter- Built In Oven And Built In Microwave,13129] : Insufficient accessories. Minimum required: 2 got 1"
10,13062,B2S1DR-DC,"Error in zone : 10_10_13062_B2S1DR-DC for module [Base Cabinet 2 Shutter 1 Drawer,13062] : Insufficient accessories. Minimum required: 2 got 1"
50,13109,Gola-WDL-DC,"Selected shutter shade is invalid for Dual Liftup Plain Shutter Top"
51,13111,Gola-WAQ1S-DC,"Selected shutter shade is invalid for Gola Plain Shutter"
49,13107,Gola-W1TL-DC,"Selected shutter shade is invalid for Lift Up Plain Shutter"
38,13096,Gola-B1S1DR-DC,"Error in zone : 4_38_13096_Gola-B1S1DR-DC for module [Gola Base Cabinet 1 Shutter 1 Drawer,13096] : Insufficient accessories. Minimum required: 2 got 1"
39,13097,Gola-B2S1DR-DC,"Error in zone : 5_39_13097_Gola-B2S1DR-DC for module [Gola Base Cabinet 2 Shutter 1 Drawer,13097] : Insufficient accessories. Minimum required: 2 got 1"
50,13109,Gola-WDL-DC,"Error in zone : 9_50_13109_Gola-WDL-DC for module [Gola Wall Cabinet 2 Shutter Dual Lift Up,13109] : Insufficient accessories. Minimum required: 1 got 0"
24,13078,WDL-DC,"Error in zone : 4_24_13078_WDL-DC for module [Wall Cabinet 2 Shutter Dual Lift Up,13078] : Insufficient accessories. Minimum required: 1 got 0"
138,13304,WDL-430D-DC,"Error in zone : 8_138_13304_WDL-430D-DC for module [Wall Cabinet 2 Shutter Dual Lift Up-430D,13304] : Insufficient accessories. Minimum required: 1 got 0"
117,13243,T1BDR1TSTWO-DC,"Error in zone : 2_117_13243_T1BDR1TSTWO-DC for module [Tall Unit 1 bottom drawer 1 shutter with top wicker basket- Provision for Built-in Oven,13243] : Insufficient accessories. Minimum required: 3 got 2"
118,13244,T1TDR1TSBWO-DC,"Error in zone : 3_118_13244_T1TDR1TSBWO-DC for module [Tall Unit 1 top drawer 1 shutter with bottom wicker basket- Provision for Built-in Oven,13244] : Insufficient accessories. Minimum required: 3 got 2"
119,13245,T2BDR1TSTWO-DC,"Error in zone : 4_119_13245_T2BDR1TSTWO-DC for module [Tall Unit 2 bottom drawer 1 shutter with top wicker basket- Provision for Built-in Oven,13245] : Insufficient accessories. Minimum required: 3 got 2"
120,13246,T2TDR1TSBWO-DC,"Error in zone : 5_120_13246_T2TDR1TSBWO-DC for module [Tall Unit 2 top drawer 1 shutter with bottom wicker basket- Provision for Built-in Oven,13246] : Insufficient accessories. Minimum required: 4 got 2"
197,13376,GP-H3DR-DC,"Selected Height is 600, Which is outside the allowable limits (Min = 650, Max = 750)"
